#
#
################################################################

HCDataSetFile_version
"1.0"

HCDataSetFile_fields
# unique id, probably the imagename with out the extension, but can be anything as long
#  as it's constant and unique
"0"	"id"

# full image name and path from the articlesImagePath directory specified in the config.txt file
# probably just the name though, including the extension, the format can be GIF or JPEG
# using any of the standard file extensions
"1"	"imageName"

# This could be body, pants, hair, hats, tops, bottoms, shoes, extras or unknown
"2"	"category"

# This defines which layer the item sits on the order and number of these layers
# are defined in the config.txt file
"3"	"layer"

# co-ordinates that the gifs snap to on the person/alien
"4"	"snapPosX"
"5"	"snapPosY"

# an order number defining in which order the user has placed the articles
# set to -1 if the user is not wearing
"6" "wearing"

"7" "waldrobe"

HCDataSetFile_data

"111" "skeletor.png" "body" "body" "26" "28" "-1"
"50191" "boy_facialhair_07.png" "hair" "hair" "43" "57" "-1"
"50190" "boy_facialhair_06.png" "hair" "hair" "43" "57" "-1"
"50177" "boy_hair_20.png" "hair" "hair" "32" "22" "-1"
"50175" "boy_hair_18.png" "hair" "hair" "34" "26" "-1"
"50176" "boy_hair_19.png" "hair" "hair" "32" "15" "-1"
"50022" "boy_hair_16.png" "hair" "hair" "29" "19" "-1"
"50021" "boy_hair_15.png" "hair" "hair" "33" "21" "-1"
"50174" "boy_hair_17.png" "hair" "hair" "34" "26" "-1"
"50184" "boy_hat_05.png" "hats" "hats" "26" "27" "0.05"
"105" "boy_jacket_02.png" "tops" "jackets" "25" "68" "-1"
"105" "boy_jacket_02_brazos_arriba.png" "tops" "jackets" "25" "68" "0"
"106" "boy_jacket_01.png" "tops" "jackets" "25" "68" "-1"
"106" "boy_jacket_01_brazos_arriba.png" "tops" "jackets" "25" "68" "0"
"107" "boy_shirt_02.png" "tops" "tops" "31" "67" "-1"
"107" "boy_shirt_02_brazos_arriba.png" "tops" "tops" "31" "67" "0"
"108" "boy_shirt_04.png" "tops" "tops" "28" "68" "-1"
"108" "boy_shirt_04_brazos_arriba.png" "tops" "tops" "28" "68" "0"
"109" "boy_tee_02.png" "tops" "tops" "31" "69" "-1"
"109" "boy_tee_02_brazos_arriba.png" "tops" "tops" "31" "69" "0"
"110" "boy_tee_03.png" "tops" "tops" "32" "70" "-1"
"111" "boy_tee_04.png" "tops" "tops" "31" "70" "-1"
"112" "boy_tee_05.png" "tops" "tops" "31" "70" "-1"
"113" "boy_tee_06.png" "tops" "tops" "39" "70" "-1"
"110" "boy_tee_03_brazos_arriba.png" "tops" "tops" "32" "70" "0"
"111" "boy_tee_04_brazos_arriba.png" "tops" "tops" "31" "70" "0"
"112" "boy_tee_05_brazos_arriba.png" "tops" "tops" "31" "70" "0"
"113" "boy_tee_06_brazos_arriba.png" "tops" "tops" "39" "70" "0"
